Source2 Benchmark Results

demofile,frame data csv,fps,fps variability,total sec,width,height,numframes,dxlevel,backbuffer,cmdline,driver,vendor id,device id,rendersystemdll,sound,gpu_level,cpu_level,
midemo2.dem,, 50.9,  1.6, 43.6,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.2,  1.1, 43.3,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.3,  1.0, 43.3,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.3,  1.0, 43.3,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.2,  1.0, 43.4,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 44.5,  1.3, 49.8,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 50.8,  1.5, 43.7,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.1,  1.1, 43.4,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.2,  0.9, 43.3,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.2,  1.0, 43.3,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,enabled,3,2,
midemo2.dem,, 51.1,  1.1, 43.4,1920,1080,2219,110,RGBA8888,"/mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2" /mnt/bigdata/Dateien/Programme/Steam/steamapps/common/dota 2 beta/game/bin/linuxsteamrt64/dota2 -sdl_displayindex 1 +demo_quitafterplayback 1 +cl_showfps 2 +fps_max 0 -nosound -noassert +timedemoquit midemo2,AMD Radeon R9 200 Series,0x1002,0x6939,RENDER_SYSTEM_DLL_VULKAN,disabled,3,2,
